DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-03-29,A098120,마이크로컨텍솔,14.88,11000,77380,11030,68775,10780,60788,10825,60328,20349,15330,-56.0,"{'시가': '11000', '고가': '11150', '저가': '10750', '52주 최저': '5300', '52주 최고': '15650'}"
2022-03-29,A095570,AJ네트웍스,4.78,6080,70271,6040,148895,5857,127130,5805,102746,9976,10876,-8.0,"{'시가': '6090', '고가': '6220', '저가': '6050', '52주 최저': '4405', '52주 최고': '7320'}"
2022-03-29,A282330,BGF리테일,30.91,173000,34373,178000,34652,177850,44049,178500,35956,6219,7440,593.0,"{'시가': '177000', '고가': '178500', '저가': '171500', '52주 최저': '136500', '52주 최고': '193000'}"
2022-03-29,A000995,DB하이텍1우,1.07,96600,332,95080,219,94460,242,94750,200,431,175,-18.0,"{'시가': '96000', '고가': '96900', '저가': '96000', '52주 최저': '90000', '52주 최고': '143000'}"
2022-03-29,A000990,DB하이텍,24.19,76600,500377,76140,841108,73810,878083,73750,761694,53970,41492,-355.0,"{'시가': '77500', '고가': '77800', '저가': '76100', '52주 최저': '49200', '52주 최고': '85400'}"
2022-03-29,A000215,DL우,7.18,39150,3463,38180,2349,37800,1590,37650,1169,1099,668,-19.0,"{'시가': '38600', '고가': '39200', '저가': '38600', '52주 최저': '32950', '52주 최고': '63200'}"
2022-03-29,A001880,DL건설,2.18,29550,24949,29760,24200,29975,34767,29800,28753,6967,4475,39.0,"{'시가': '30000', '고가': '30000', '저가': '29500', '52주 최저': '24350', '52주 최고': '38500'}"
2022-03-29,A000210,DL,12.19,60000,79581,59540,76850,59610,59166,59750,51766,12099,5143,-6.0,"{'시가': '59900', '고가': '60800', '저가': '59600', '52주 최저': '53900', '52주 최고': '107000'}"
2022-03-29,A007700,F&F홀딩스,0.7,26900,23339,26840,46939,26465,53108,26325,36499,3992,6710,69.0,"{'시가': '27000', '고가': '27150', '저가': '26750', '52주 최저': '23850', '52주 최고': '180500'}"
2022-03-29,A078935,GS우,9.56,35100,4112,34970,3324,34780,2759,34650,2517,2606,1661,-12.0,"{'시가': '34800', '고가': '35300', '저가': '34800', '52주 최저': '32000', '52주 최고': '42750'}"
2022-03-29,A078930,GS,19.21,42950,445095,41560,335312,40785,254166,40400,168024,16301,18624,159.0,"{'시가': '42750', '고가': '43350', '저가': '42500', '52주 최저': '37000', '52주 최고': '50300'}"
2022-03-29,A016385,KG동부제철우,0.0,110000,94,108200,113,105550,84,105250,50,203,47,-12.0,"{'시가': '107000', '고가': '110000', '저가': '107000', '52주 최저': '91100', '52주 최고': '214500'}"
2022-03-29,A016380,KG동부제철,1.09,11150,146502,11310,428115,11175,352678,11175,222997,130248,67067,-24.0,"{'시가': '11150', '고가': '11300', '저가': '11100', '52주 최저': '9200', '52주 최고': '25150'}"
2022-03-29,A001390,KG케미칼,3.17,30750,163451,30500,127138,29790,102894,29975,78130,6199,16302,372.0,"{'시가': '30950', '고가': '31700', '저가': '30600', '52주 최저': '24850', '52주 최고': '45700'}"
2022-03-29,A051905,LG생활건강우,83.61,515000,3772,515000,3617,511600,5006,513000,3751,277,379,19.0,"{'시가': '510000', '고가': '515000', '저가': '501000', '52주 최저': '476000', '52주 최고': '807000'}"
2022-03-29,A051900,LG생활건강,40.69,859000,55062,857600,51791,854300,67418,860500,69275,4281,2234,-921.0,"{'시가': '840000', '고가': '866000', '저가': '840000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-03-29,A011070,LG이노텍,26.18,391500,427024,398000,356495,392100,428670,395000,420874,11159,5895,-128.0,"{'시가': '393500', '고가': '396000', '저가': '381000', '52주 최저': '181000', '52주 최고': '414500'}"
2022-03-29,A051915,LG화학우,71.58,269500,19509,265700,18966,257650,23330,256250,23345,601,494,41.0,"{'시가': '269500', '고가': '273000', '저가': '268500', '52주 최저': '239500', '52주 최고': '455000'}"
2022-03-29,A051910,LG화학,48.53,523000,144470,522200,296863,499350,392116,500000,319812,14631,14585,1880.0,"{'시가': '528000', '고가': '532000', '저가': '522000', '52주 최저': '437000', '52주 최고': '965000'}"
2022-03-29,A001120,LX인터내셔널,24.83,33900,706312,34080,471640,32655,544828,33725,397868,9807,25743,615.0,"{'시가': '35200', '고가': '35700', '저가': '33100', '52주 최저': '22300', '52주 최고': '38150'}"
