DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-10,A098120,마이크로컨텍솔,14.81,10400,91629,10540,94048,10820,105042,10725,84594,23764,31660,32.0,"{'시가': '10350', '고가': '10500', '저가': '10150', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-10,A095570,AJ네트웍스,4.95,6300,62093,6416,173055,6349,355185,6265,147028,3351,13454,30.0,"{'시가': '6230', '고가': '6420', '저가': '6190', '52주 최저': '4800', '52주 최고': '7320'}"
2022-04-10,A282330,BGF리테일,30.72,178500,19630,179000,25478,177150,30577,178250,30736,4214,1616,-309.0,"{'시가': '178500', '고가': '180000', '저가': '177000', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-10,A000995,DB하이텍1우,1.07,100000,645,100240,394,99250,530,99600,363,757,166,3.0,"{'시가': '99900', '고가': '102000', '저가': '99900', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-10,A000990,DB하이텍,23.92,69700,698422,71140,721349,73400,713574,73150,667574,29841,63019,970.0,"{'시가': '70400', '고가': '70500', '저가': '68500', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-10,A000215,DL우,7.18,40000,2832,40320,3638,39745,3008,39775,2983,1726,975,-34.0,"{'시가': '40450', '고가': '40550', '저가': '39900', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-10,A001880,DL건설,2.21,28000,23659,28400,22438,28940,21015,28975,20097,2361,6111,-40.0,"{'시가': '28150', '고가': '28350', '저가': '27500', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-10,A000210,DL,11.88,59700,38267,60820,41853,60610,55914,60700,53184,2722,8804,125.0,"{'시가': '60300', '고가': '60700', '저가': '59200', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-10,A007700,F&F홀딩스,0.78,28000,30087,28050,40590,27640,39050,27725,30947,2816,3419,-6.0,"{'시가': '28550', '고가': '28600', '저가': '27750', '52주 최저': '23850', '52주 최고': '180500'}"
2022-04-10,A078935,GS우,9.7,36000,2850,36030,3723,35690,4456,35825,4040,1346,1259,-2.0,"{'시가': '35700', '고가': '36150', '저가': '35600', '52주 최저': '32500', '52주 최고': '42750'}"
