CD,NM,MESSAGE
365550,ESR켄달스퀘어리츠,'최근 연간 실적'
016385,KG동부제철우,cannot convert float NaN to integer
338100,NH프라임리츠,'최근 연간 실적'
395400,SK리츠,'최근 연간 실적'
114190,강원에너지,index 0 is out of bounds for axis 0 with size 0
183410,골프존데카,'최근 연간 실적'
076340,관악산업,'최근 연간 실적'
243870,굿센,'최근 연간 실적'
244880,나눔테크,'최근 연간 실적'
288490,나라소프트,'최근 연간 실적'
257990,나우코스,'최근 연간 실적'
086220,네추럴FNP,'최근 연간 실적'
041140,넥슨지티,index 0 is out of bounds for axis 0 with size 0
317860,노드메이슨,'최근 연간 실적'
229500,노브메타파마,'최근 연간 실적'
323350,다원넥스뷰,'최근 연간 실적'
271850,다이오진,'최근 연간 실적'
343090,단디바이오,'최근 연간 실적'
178600,대동고려삼,'최근 연간 실적'
114920,대주이엔티,'최근 연간 실적'
302920,더콘텐츠온,'최근 연간 실적'
348840,데이드림엔터,'최근 연간 실적'
199150,데이터스트림즈,'최근 연간 실적'
227420,도부마스크,'최근 연간 실적'
176750,듀켐바이오,'최근 연간 실적'
377190,디앤디플랫폼리츠,'최근 연간 실적'
163430,디피코,'최근 연간 실적'
285770,라이프사이언스테크놀로지,'최근 연간 실적'
092590,럭스피아,'최근 연간 실적'
179720,렌딩머신,'최근 연간 실적'
238500,로보쓰리,'최근 연간 실적'
223220,로지스몬,'최근 연간 실적'
330590,롯데리츠,'최근 연간 실적'
162120,루켄테크놀러지스,'최근 연간 실적'
253610,루트락,'최근 연간 실적'
220630,맘스터치,index 0 is out of bounds for axis 0 with size 0
088980,맥쿼리인프라,'최근 연간 실적'
200580,메디쎄이,'최근 연간 실적'
233250,메디안디노스틱,'최근 연간 실적'
236340,메디젠휴먼케어,'최근 연간 실적'
267060,명진홀딩스,'최근 연간 실적'
204210,모두투어리츠,'최근 연간 실적'
322970,무진메디,'최근 연간 실적'
396690,미래에셋글로벌리츠,'최근 연간 실적'
357250,미래에셋맵스리츠,'최근 연간 실적'
094800,맵스리얼티1,'최근 연간 실적'
208890,미래엔에듀파트너,'최근 연간 실적'
225850,미애부,'최근 연간 실적'
155900,바다로19호,'최근 연간 실적'
018700,바른손,"('최근 연간 실적', '2021.03')"
281310,바이오시네틱스,'최근 연간 실적'
266470,바이오인프라생명과학,'최근 연간 실적'
199290,바이오프로테크,'최근 연간 실적'
308080,바이젠셀,"('최근 연간 실적', '2021.12')"
322190,베른,'최근 연간 실적'
206950,볼빅,'최근 연간 실적'
191600,블루탑,'최근 연간 실적'
215050,비엔디생활건강,'최근 연간 실적'
032790,BNGT,index 0 is out of bounds for axis 0 with size 0
148780,비플라이소프트,'최근 연간 실적'
210120,빅텐츠,'최근 연간 실적'
266170,뿌리깊은나무들,'최근 연간 실적'
329560,상상인이안제2호스팩,No tables found
067370,선바이오,'최근 연간 실적'
011300,성안,index 0 is out of bounds for axis 0 with size 0
258250,셀젠텍,'최근 연간 실적'
053110,소리바다,index 0 is out of bounds for axis 0 with size 0
258540,스템랩,'최근 연간 실적'
260870,시그넷이브이,'최근 연간 실적'
232830,시큐센,'최근 연간 실적'
404990,신한서부티엔디리츠,'최근 연간 실적'
293940,신한알파리츠,'최근 연간 실적'
003620,쌍용차,index 0 is out of bounds for axis 0 with size 0
217320,썬테크,'최근 연간 실적'
236030,씨알푸드,'최근 연간 실적'
103660,씨앗,'최근 연간 실적'
245450,씨앤에스링크,'최근 연간 실적'
286000,씨엔티드림,'최근 연간 실적'
149010,아이케이세미콘,'최근 연간 실적'
