날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.04.05,10650,-50,10650,10850,10600,45194,마이크로컨텍솔
2022.04.04,10700,-50,10550,10700,10300,112837,마이크로컨텍솔
2022.04.01,10750,-600,11300,11300,10600,240867,마이크로컨텍솔
2022.03.31,11350,50,11200,11450,11000,71163,마이크로컨텍솔
2022.03.30,11300,300,11000,11550,11000,141443,마이크로컨텍솔
2022.03.29,11000,-100,11000,11150,10750,77559,마이크로컨텍솔
2022.03.28,11100,50,11050,11200,10750,49155,마이크로컨텍솔
2022.03.25,11050,0,11150,11200,10850,77120,마이크로컨텍솔
2022.03.24,11050,100,10900,11050,10750,61105,마이크로컨텍솔
2022.03.23,10950,0,10750,11050,10550,79118,마이크로컨텍솔
2022.04.05,6490,-140,6630,6750,6390,209403,AJ네트웍스
2022.04.04,6630,-160,6740,6880,6620,292414,AJ네트웍스
2022.04.01,6790,600,6190,7180,6190,2330403,AJ네트웍스
2022.03.31,6190,20,6170,6220,6100,57299,AJ네트웍스
2022.03.30,6170,90,6100,6190,5990,79050,AJ네트웍스
2022.03.29,6080,-100,6090,6220,6050,70328,AJ네트웍스
2022.03.28,6180,150,5970,6270,5970,149496,AJ네트웍스
2022.03.25,6030,-70,6100,6130,5970,83143,AJ네트웍스
2022.03.24,6100,290,5730,6130,5730,319218,AJ네트웍스
2022.03.23,5810,0,5700,5880,5450,122349,AJ네트웍스
2022.04.05,180000,1000,179000,181000,177500,21900,BGF리테일
2022.04.04,179000,-500,177500,182000,177000,30076,BGF리테일
2022.04.01,179500,5000,174500,181000,172500,42874,BGF리테일
2022.03.31,174500,1000,173000,177500,172500,30649,BGF리테일
2022.03.30,173500,500,174000,176500,172000,33881,BGF리테일
2022.03.29,173000,-3000,177000,178500,171500,34427,BGF리테일
2022.03.28,176000,-5000,179500,180000,174000,36554,BGF리테일
2022.03.25,181000,1000,180000,182500,178500,32543,BGF리테일
2022.03.24,180000,0,178000,182000,178000,37137,BGF리테일
2022.03.23,180000,0,178500,181000,176500,32657,BGF리테일
2022.04.05,101000,1300,101500,103000,99500,277,DB하이텍1우
2022.04.04,99700,1100,98600,100000,98500,420,DB하이텍1우
2022.04.01,98600,-800,99100,99100,97400,275,DB하이텍1우
2022.03.31,99400,-2100,101500,101500,98900,803,DB하이텍1우
2022.03.30,101500,4900,100000,102000,99900,1608,DB하이텍1우
2022.03.29,96600,1400,96000,96900,96000,333,DB하이텍1우
2022.03.28,95200,500,94700,96000,94700,316,DB하이텍1우
2022.03.25,94700,-100,95000,95000,94700,172,DB하이텍1우
2022.03.24,94800,700,94100,94800,93900,189,DB하이텍1우
2022.03.23,94100,0,94700,94700,94100,90,DB하이텍1우
2022.04.05,72800,-100,73400,73900,72700,442360,DB하이텍
2022.04.04,72900,-500,73400,73400,72200,442083,DB하이텍
2022.04.01,73400,-1500,74100,74200,72200,797862,DB하이텍
2022.03.31,74900,-1900,76000,76200,74300,1080344,DB하이텍
2022.03.30,76800,200,77900,78100,76500,506224,DB하이텍
2022.03.29,76600,0,77500,77800,76100,507842,DB하이텍
2022.03.28,76600,600,76000,77100,75200,636727,DB하이텍
2022.03.25,76000,-600,78400,78500,75700,1008350,DB하이텍
2022.03.24,76600,1700,74100,76700,73700,860385,DB하이텍
2022.03.23,74900,0,73500,75400,72800,1199703,DB하이텍
2022.04.05,40450,200,40500,40500,40150,3034,DL우
2022.04.04,40250,800,40450,40500,39550,5504,DL우
2022.04.01,39450,-100,39550,39700,39150,1029,DL우
2022.03.31,39550,450,39100,39800,39050,1344,DL우
2022.03.30,39100,-50,39200,39250,38750,2346,DL우
2022.03.29,39150,550,38600,39200,38600,3463,DL우
2022.03.28,38600,750,37850,38750,37800,3712,DL우
2022.03.25,37850,200,38150,38650,37850,2035,DL우
2022.03.24,37650,0,37450,37750,37450,764,DL우
2022.03.23,37650,0,37650,37800,37350,1773,DL우
2022.04.05,28550,-200,28750,28850,28200,32701,DL건설
2022.04.04,28750,-450,29200,29450,28600,28208,DL건설
2022.04.01,29200,0,29300,29400,29100,14855,DL건설
2022.03.31,29200,-250,29450,29700,29200,18336,DL건설
2022.03.30,29450,-100,29700,29750,29450,17963,DL건설
2022.03.29,29550,-450,30000,30000,29500,24950,DL건설
2022.03.28,30000,350,29700,30200,29700,21858,DL건설
2022.03.25,29650,-150,30350,30600,29650,33395,DL건설
2022.03.24,29800,0,29700,29900,29300,25325,DL건설
2022.03.23,29800,0,29750,30000,29700,15473,DL건설
2022.04.05,61400,-200,61300,62000,61000,34721,DL
2022.04.04,61600,0,61600,62200,61100,50733,DL
2022.04.01,61600,400,60500,61700,60100,53853,DL
2022.03.31,61200,1800,59400,61200,59100,75295,DL
2022.03.30,59400,-600,61000,61000,59000,61849,DL
2022.03.29,60000,200,59900,60800,59600,79852,DL
2022.03.28,59800,1200,58600,59900,58000,79034,DL
2022.03.25,58600,-700,60100,60600,58300,126882,DL
2022.03.24,59300,-700,59700,59800,58700,61073,DL
2022.03.23,60000,0,59900,60600,59700,37682,DL
2022.04.05,28150,550,27750,28500,27400,60837,F&F홀딩스
2022.04.04,27600,-250,27950,27950,27400,31807,F&F홀딩스
2022.04.01,27850,500,27450,28050,27200,45021,F&F홀딩스
2022.03.31,27350,300,26800,27550,26750,29948,F&F홀딩스
2022.03.30,27050,150,27100,27200,26850,28185,F&F홀딩스
2022.03.29,26900,-100,27000,27150,26750,24034,F&F홀딩스
2022.03.28,27000,-650,28000,28150,27000,60369,F&F홀딩스
2022.03.25,27650,1300,26500,27800,26400,91820,F&F홀딩스
2022.03.24,26350,50,26200,26400,26000,25456,F&F홀딩스
2022.03.23,26300,0,26350,26650,26200,33711,F&F홀딩스
2022.04.05,36150,50,36200,36400,36000,3267,GS우
2022.04.04,36100,250,35850,36150,35750,3968,GS우
2022.04.01,35850,450,35500,35900,35200,9191,GS우
2022.03.31,35400,300,35100,35500,35000,5002,GS우
2022.03.30,35100,0,35100,35150,34900,2645,GS우
2022.03.29,35100,-200,34800,35300,34800,4112,GS우
2022.03.28,35300,650,34700,35400,34650,4995,GS우
2022.03.25,34650,-200,34750,34900,34650,2586,GS우
2022.03.24,34850,-100,35150,35150,34750,2494,GS우
2022.03.23,34950,0,34650,34950,34650,2433,GS우
2022.04.05,44800,100,44800,44850,44200,206847,GS
2022.04.04,44700,750,43700,44750,43650,246108,GS
2022.04.01,43950,50,43500,44500,43200,346586,GS
2022.03.31,43900,1300,42900,44000,42250,420439,GS
2022.03.30,42600,-350,42900,43050,42100,233913,GS
2022.03.29,42950,-100,42750,43350,42500,445370,GS
2022.03.28,43050,2250,40550,43050,40450,756587,GS
2022.03.25,40800,300,40300,40850,40200,160431,GS
2022.03.24,40500,0,40600,41100,40400,167185,GS
2022.03.23,40500,0,40250,40700,40200,147263,GS
2022.04.05,106500,-3500,109500,109500,105000,49,KG동부제철우
2022.04.04,110000,0,110000,110000,109500,63,KG동부제철우
2022.04.01,110000,1000,109000,110000,109000,37,KG동부제철우
2022.03.31,109000,500,109000,109000,107000,23,KG동부제철우
2022.03.30,108500,-1500,112500,112500,108500,181,KG동부제철우
2022.03.29,110000,500,107000,110000,107000,94,KG동부제철우
2022.03.28,109500,500,105000,110500,105000,54,KG동부제철우
2022.03.25,109000,2000,107000,109500,107000,37,KG동부제철우
2022.03.24,107000,1500,104000,112500,103000,113,KG동부제철우
2022.03.23,105500,0,104000,109000,103000,271,KG동부제철우
2022.04.05,11050,-50,11100,11150,10950,150223,KG동부제철
