CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_GAP_BUY,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.71, 14.84, 14.89]","[10950, 11050, 11050]","[78976, 60821, 76436]","[0.0, 0.0, -29.0]",10475,56974,14.89,11050,10890,10541,100.9,101.36,98.19,47.96,141.63,76436,-29.0,Y,8.62,Y,Y,Y,N,Y,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.77, 4.87]","[6100, 6030]","[318943, 83139]","[0.0, 20.0]",5670,57387,4.87,6030,5900,5765,101.16,101.66,99.0,71.14,121.39,83139,20.0,N,12.54,Y,Y,Y,N,Y,Y
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.94, 30.94, 30.93, 30.96, 30.96]","[178000, 179000, 180000, 180000, 181000]","[35341, 28891, 32656, 37136, 32534]","[0.0, 0.0, 0.0, 0.0, -740.0]",174000,61437,30.96,181000,179600,177350,99.45,100.83,98.62,75.41,106.63,32534,-740.0,N,21.56,N,N,Y,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[95000, 94800, 94100, 94800, 94700]","[143, 89, 90, 189, 171]","[0.0, 0.0, 0.0, 0.0, 13.0]",93750,274,1.07,94700,94680,93790,100.32,100.32,100.0,95.04,151.0,171,13.0,Y,24.6,Y,Y,Y,N,N,Y
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.88, 23.79, 23.79, 24.05, 24.09]","[72500, 72600, 74900, 76600, 76000]","[1502060, 655794, 1191182, 837589, 998870]","[0.0, 0.0, 0.0, 0.0, 1812.0]",69450,784288,24.09,76000,74520,72130,103.16,103.29,99.61,64.74,112.37,998870,1812.0,Y,24.6,Y,N,Y,N,Y,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.2, 7.2, 7.19, 7.19, 7.19]","[37550, 37650, 37650, 37650, 37850]","[1393, 945, 1773, 553, 2035]","[0.0, 0.0, 0.0, 0.0, 15.0]",36975,700,7.19,37850,37670,37410,100.79,102.11,100.0,87.05,166.97,2035,15.0,Y,16.7,N,N,Y,N,Y,Y
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.12, 2.16, 2.17, 2.17, 2.17]","[29700, 29700, 29800, 29800, 29650]","[42403, 23972, 15320, 23337, 32490]","[0.0, 0.0, 0.0, 0.0, 4.0]",29825,44486,2.17,29650,29730,29950,102.36,103.2,100.0,82.12,129.85,32490,4.0,N,22.23,Y,Y,Y,Y,N,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[12.25, 12.25, 12.28, 12.34, 12.32]","[59700, 59800, 60000, 59300, 58600]","[28877, 37962, 37640, 56771, 125837]","[0.0, 0.0, 0.0, 0.0, 307.0]",59250,44056,12.32,58600,59480,59420,102.56,103.41,99.49,91.98,182.59,125837,307.0,Y,16.7,N,N,Y,Y,Y,Y
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.65, 0.65, 0.66]","[26300, 26350, 27650]","[33568, 24347, 90344]","[0.0, 0.0, -163.0]",26175,31866,0.66,27650,26610,26225,95.84,100.54,95.48,86.26,652.8,90344,-163.0,N,65.2,N,Y,Y,N,Y,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.55, 9.55, 9.55, 9.55, 9.55]","[34600, 34650, 34950, 34850, 34650]","[1112, 2540, 2432, 2492, 2584]","[0.0, 0.0, 0.0, 0.0, -4.0]",34550,2177,9.55,34650,34740,34635,100.29,100.72,100.0,91.92,123.38,2584,-4.0,N,6.33,N,Y,Y,N,Y,N
