CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.71, 14.84, 14.89, 14.95, 14.88]","[10950, 11050, 11050, 11100, 11000]","[78976, 60821, 76436, 48876, 77380]","[18130, 25942, 15439, 13584, 15330]","[21199, 35191, 27759, 25567, 20349]","[0.0, 0.0, -29.0, -149.0, -56.0]","[10710, 10810, 10890, 10970, 11030]","[59011, 53828, 57262, 57763, 68775]","[10411, 10476, 10541, 10658, 10780]","[65968, 61525, 63758, 57108, 60788]","[10475, 10600, 10675, 10700, 10825]","[56974, 56974, 60328, 54213, 60328]","[0.0, 0.0, -29.0, -149.0, -56.0]",10475,56974,15.04,10750,11100,10995,105.12,105.12,98.6,49.3,145.58,239453,81.0,Y,8.62,Y,N,N,N,Y,Y
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.77, 4.87, 4.8, 4.78, 4.77]","[6100, 6030, 6180, 6080, 6170]","[318943, 83139, 149388, 70271, 79039]","[3743, 11125, 3566, 10876, 6284]","[28498, 10822, 7754, 9976, 3122]","[0.0, 20.0, -5.0, -8.0, 9.0]","[5796, 5900, 5976, 6040, 6112]","[177442, 153172, 143967, 148895, 140244]","[5729, 5765, 5816, 5857, 5909]","[107894, 109332, 121900, 127130, 131258]","[5670, 5715, 5780, 5805, 5920]","[57387, 64439, 102746, 102746, 102746]","[0.0, 20.0, -5.0, -8.0, 9.0]",5670,57387,4.75,6790,6282,6091,91.16,105.74,91.16,68.26,107.81,2324021,-8.0,N,12.54,Y,N,N,N,Y,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.94, 30.93, 30.96, 30.96, 30.98]","[179000, 180000, 180000, 181000, 176000]","[28891, 32656, 37136, 32534, 36524]","[8639, 4561, 5585, 5453, 7006]","[10691, 9435, 7259, 10789, 3294]","[0.0, 0.0, 0.0, -740.0, 310.0]","[177700, 177900, 178900, 179600, 179200]","[53436, 40016, 35030, 33326, 33560]","[174750, 175700, 176750, 177350, 177850]","[62454, 56428, 52710, 46458, 44637]","[175000, 176250, 177750, 178500, 178500]","[58402, 47897, 40668, 38709, 36830]","[0.0, 0.0, 0.0, -740.0, 310.0]",175000,58402,30.93,179500,175300,177450,97.21,100.84,96.1,76.04,107.52,42841,-907.0,N,21.56,N,N,Y,N,N,N
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[94800, 94100, 94800, 94700, 95200]","[89, 90, 189, 171, 316]","[104, 138, 126, 423, 162]","[272, 102, 115, 242, 243]","[0.0, 0.0, 0.0, 13.0, -10.0]","[93840, 94220, 94480, 94680, 94720]","[265, 240, 169, 136, 171]","[93780, 93810, 93820, 93790, 94000]","[305, 290, 278, 275, 241]","[93750, 93900, 93900, 93900, 94400]","[274, 261, 205, 200, 200]","[0.0, 0.0, 0.0, 13.0, -10.0]",93750,274,1.07,98600,98260,96470,100.51,100.51,98.78,91.28,145.03,274,-7.0,Y,24.6,Y,Y,N,N,N,N
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.79, 23.79, 24.05, 24.09, 24.12]","[72600, 74900, 76600, 76000, 76600]","[655794, 1191182, 837589, 998870, 632057]","[61412, 35536, 15432, 62391, 36247]","[45575, 108047, 52831, 29007, 46968]","[0.0, 0.0, 0.0, 1812.0, -1052.0]","[71480, 72660, 73700, 74520, 75340]","[913617, 1044957, 971398, 1046020, 872699]","[70270, 70980, 71520, 72130, 72960]","[910818, 910735, 860168, 881717, 874424]","[70550, 71300, 71650, 72200, 72550]","[760318, 760318, 760318, 787426, 761694]","[0.0, 0.0, 0.0, 1812.0, -1052.0]",70550,760318,24.65,73400,75660,75090,100.95,101.09,98.37,67.03,116.35,792324,-627.0,Y,24.6,Y,Y,N,N,Y,N
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.2, 7.19, 7.19, 7.19, 7.18]","[37650, 37650, 37650, 37850, 38600]","[945, 1773, 553, 2035, 3704]","[1418, 735, 813, 1097, 907]","[1204, 1276, 932, 1008, 602]","[0.0, 0.0, 0.0, 15.0, 5.0]","[37420, 37520, 37570, 37670, 37880]","[831, 1011, 1038, 1382, 1844]","[37045, 37215, 37320, 37410, 37570]","[745, 833, 866, 1044, 1365]","[37075, 37250, 37375, 37475, 37600]","[700, 700, 713, 909, 1083]","[0.0, 0.0, 0.0, 15.0, 5.0]",37075,700,7.18,39450,39170,38420,100.25,100.63,99.24,83.52,160.2,1028,-66.0,Y,16.7,N,N,N,N,Y,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.16, 2.17, 2.17, 2.17, 2.18]","[29700, 29800, 29800, 29650, 30000]","[23972, 15320, 23337, 32490, 21781]","[3194, 1927, 1065, 2805, 7344]","[3925, 4156, 4416, 4212, 11031]","[0.0, 0.0, 0.0, 4.0, -217.0]","[30190, 30010, 29890, 29730, 29790]","[45151, 32280, 27664, 28123, 24172]","[29715, 29925, 29980, 29950, 29950]","[46642, 45972, 42303, 39693, 34983]","[29825, 29875, 29875, 29800, 29800]","[44506, 44506, 37312, 32335, 29687]","[0.0, 0.0, 0.0, 4.0, -217.0]",29825,44506,2.18,29200,29480,29605,100.34,100.68,99.66,83.39,131.85,14727,43.0,N,22.23,Y,Y,N,Y,N,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[12.25, 12.28, 12.34, 12.32, 12.14]","[59800, 60000, 59300, 58600, 59800]","[37962, 37640, 56771, 125837, 78931]","[9243, 6059, 11092, 11334, 2049]","[8952, 7509, 5937, 4996, 7968]","[0.0, 0.0, 0.0, 307.0, -334.0]","[59680, 59700, 59640, 59480, 59500]","[41444, 41645, 43808, 58328, 68544]","[59160, 59450, 59480, 59420, 59470]","[42769, 40889, 40755, 50596, 54382]","[59350, 59500, 59500, 59500, 59650]","[40038, 37896, 37917, 40133, 42075]","[0.0, 0.0, 0.0, 307.0, -334.0]",59350,40038,11.99,61600,60400,59940,98.21,100.16,97.56,87.5,173.7,53791,-127.0,Y,16.7,N,N,N,N,Y,N
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.65, 0.65, 0.66, 0.73, 0.7]","[26300, 26350, 27650, 27000, 26900]","[33568, 24347, 90344, 60247, 23339]","[12308, 11141, 2371, 7256, 6710]","[5592, 4765, 10123, 1956, 3992]","[0.0, 0.0, -163.0, 162.0, 69.0]","[26220, 26280, 26610, 26720, 26840]","[61149, 61821, 45791, 50104, 46939]","[26195, 26145, 26225, 26330, 26465]","[43209, 44165, 51973, 53779, 53108]","[26175, 26175, 26175, 26300, 26325]","[31866, 31938, 36499, 36499, 36499]","[0.0, 0.0, -163.0, 162.0, 69.0]",26175,31866,0.71,27850,27230,26920,98.56,100.72,97.67,85.64,648.11,44905,-71.0,N,65.2,N,N,N,N,Y,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.55, 9.55, 9.55, 9.55, 9.56]","[34650, 34950, 34850, 34650, 35300]","[2540, 2432, 2492, 2584, 4946]","[1391, 983, 1434, 1258, 981]","[1097, 446, 2876, 1259, 1039]","[0.0, 0.0, 0.0, -4.0, -12.0]","[34590, 34680, 34730, 34740, 34880]","[2195, 1887, 1908, 2232, 2999]","[34535, 34580, 34620, 34635, 34705]","[2257, 2335, 2401, 2304, 2602]","[34550, 34600, 34600, 34600, 34625]","[2177, 2410, 2462, 2463, 2517]","[0.0, 0.0, 0.0, -4.0, -12.0]",34550,2177,9.67,35850,35350,35045,99.02,100.14,98.19,90.66,119.25,9190,-31.0,N,6.33,N,Y,N,N,Y,N
