Symbol,Name,Industry,IndustryCode
MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
AMZN,Amazon.com Inc,다양한 소매업,534020
TSLA,Tesla Inc,자동차 및 자동차 부품,531010
GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
FB,Meta Platforms Inc Class A,소프트웨어 및 IT서비스,572010
GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
CMCSA,Comcast Corp Class A,미디어 및 출판,533020
CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
PEP,PepsiCo Inc,음료,541010
COST,Costco Wholesale Corp,다양한 소매업,534020
INTC,Intel Corp,반도체 및 반도체 장비,571010
AZN,AstraZeneca PLC ADR,제약,562010
QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
INTU,Intuit Inc,핀테크,573010
AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
HON,Honeywell International Inc,복합 기업,544010
TMUS,T-Mobile US Inc,통신 서비스,574010
AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
SNY,Sanofi SA ADR,제약,562010
ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
CHTR,Charter Communications Inc Class A,통신 서비스,574010
JD,JD.Com Inc ADR,다양한 소매업,534020
AMGN,Amgen Inc,제약,562010
TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
MU,Micron Technology Inc,반도체 및 반도체 장비,571010
MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
CME,CME Group Inc Class A,투자은행 및 서비스,551020
ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
CSX,CSX Corp,화물 및 물류 서비스,524050
WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
COIN,Coinbase Global Inc Class A,핀테크,573010
EQIX,Equinix Inc,주택 및 상업용 리츠,601020
NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
LCID,Lucid Group Inc,자동차 및 자동차 부품,531010
FISV,Fiserv Inc,전문 및 상업 서비스,522030
REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
KLAC,KLA Corp,반도체 및 반도체 장비,571010
CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
LULU,Lululemon Athletica Inc,섬유 및 의류,532020
NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010
DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
EXC,Exelon Corp,전기 유틸리티,591010
