종목명,등락률,현재가,전일비,시가,고가,저가,거래량
이엔플러스,30.28%,5980,1375,4800,5980,4590,32436573
미래아이앤지,25.11%,563,113,456,585,450,62404742
KH 필룩스,22.12%,3395,700,2890,3475,2780,48476237
한신기계,17.54%,10050,1580,8550,10350,8550,56338393
동양철관,16.10%,1370,165,1210,1470,1180,49745231
신송홀딩스,15.72%,7510,740,6810,7510,6490,1165056
비비안,14.80%,4615,1065,4025,4615,4020,24740914
남선알미우,13.64%,75000,16000,66800,75000,66000,123549
참엔지니어링,13.13%,1465,175,1305,1485,1295,5220156
일동제약,12.67%,73800,8300,65500,77300,65500,12302606
이스타코,11.38%,2300,285,2080,2300,2065,17853846
KEC,11.26%,3410,390,3090,3670,3065,71661451
혜인,10.99%,6160,560,5570,6330,5550,1446222
진도,10.56%,3925,385,3720,3925,3550,684039
KB 레버리지 항셍테크 선물 ETN(H),10.36%,2875,310,2605,2890,2605,301757
금호전기,9.69%,2320,170,2150,2340,2115,361756
웰바이오텍,9.63%,2505,190,2320,2510,2285,2244280
제이준코스메틱,9.46%,1065,96,973,1100,973,8829721
삼성 레버리지 항셍테크 ETN(H),9.25%,3485,375,3225,3520,3190,329892
화성산업,9.22%,23100,1850,21250,23300,21150,826845
티웨이홀딩스,9.13%,789,54,751,799,723,2903937
동원수산,8.91%,13450,100,13200,13650,12350,495746
화천기계,8.89%,2755,200,2555,2805,2530,770644
유화증권우,8.43%,2700,0,2700,2705,2490,20826
이구산업,8.42%,5150,400,4750,5190,4750,9478957
크래프톤,8.35%,298500,20500,275500,299500,275500,503090
동양3우B,8.33%,40300,2900,37200,41150,37200,8883
씨아이테크,8.26%,1245,95,1215,1280,1150,1357880
NPC우,8.07%,4150,30,4175,4180,3840,72214
미래산업,7.74%,24350,5600,22800,24350,22600,1004396
남선알미늄,7.69%,4060,330,3895,4060,3770,9496797
대신 아연선물 ETN(H),7.65%,16815,935,15620,16815,15620,200
제일연마,7.39%,12350,450,11900,12400,11500,173785
